no,time,city,brand,production_year,color,km,body_condition,engine_condition,chassis_condition,insurance_time_to_expire,gearbox,fuel_type,price
954,3/19/2022,Tehran,PEUGEOT 206 Type 2,1400,سفید,0,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,268000000
955,3/29/2022,Tehran,PEUGEOT PARS HYBRID,1387,خاکستری,200000,خط و خش جزیی,سالم,سالم و پلمپ,11,دنده ای,hybrid,147000000
956,3/12/2022,Tehran,PEUGEOT 405 GLX GAS,1398,نقره ای,35500,سالم و بی خط و خش,سالم,سالم و پلمپ,8,دنده ای,gasoline,218000000
957,3/19/2022,Tehran,PEUGEOT 206 Type 5,1394,قرمز,62000,رنگ شدگی در ۲ ناحیه,سالم,سالم و پلمپ,6,دنده ای,gasoline,212000000
958,3/5/2022,Tehran,PEUGEOT 206 Type 5,1393,سفید,150000,سالم و بی خط و خش,سالم,سالم و پلمپ,4,دنده ای,gasoline,220000000
959,3/5/2022,Tehran,PEUGEOT PARS LX TU5,1400,سفید,22000,سالم و بی خط و خش,سالم,سالم و پلمپ,5,دنده ای,gasoline,318000000
960,3/5/2022,Tehran,PEUGEOT 207i PANAROMA MANUAL,1400,سفید,0,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,363000000
961,3/12/2022,Tehran,PEUGEOT 206 SD V8,1398,سفید,33000,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,295000000
962,3/12/2022,Tehran,PEUGEOT 207i MANUAL,1400,مشکی,84,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,350000000
963,3/28/2022,Tehran,PEUGEOT 206 Type 2,1399,سفید,37000,سالم و بی خط و خش,سالم,سالم و پلمپ,3,دنده ای,gasoline,235000000
964,3/26/2022,Tehran,PEUGEOT 206 Type 2,1386,دلفینی,29000,سالم و بی خط و خش,سالم,سالم و پلمپ,10,دنده ای,gasoline,124000000
965,3/19/2022,Tehran,PEUGEOT 206 SD V8,1395,سفید,127000,خط و خش جزیی,سالم,سالم و پلمپ,11,دنده ای,gasoline,230000000
966,3/12/2022,Tehran,PEUGEOT 405 SLX GAS,1399,خاکستری,19300,سالم و بی خط و خش,سالم,سالم و پلمپ,10,دنده ای,gasoline,280000000
967,4/2/2022,Tehran,PEUGEOT 405 GLX GAS,1385,نقره ای,450000,رنگ شدگی در ۱ ناحیه,سالم,سالم و پلمپ,3,دنده ای,gasoline,95000000
968,3/12/2022,Tehran,PEUGEOT 206 Type 5,1394,سفید صدفی,141000,سالم و بی خط و خش,سالم,سالم و پلمپ,2,دنده ای,gasoline,194000000
969,3/12/2022,Tehran,PEUGEOT PARS SAL,1400,سفید,2300,سالم و بی خط و خش,سالم,سالم و پلمپ,11,دنده ای,gasoline,275000000
970,3/19/2022,Tehran,PEUGEOT PARS SAL,1397,سفید,73500,خط و خش جزیی,سالم,سالم و پلمپ,4,دنده ای,gasoline,231000000
971,3/12/2022,Tehran,PEUGEOT PARS SADE,1399,خاکستری,0,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,275000000
972,3/12/2022,Tehran,PEUGEOT PARS SAL,1400,سفید,800,سالم و بی خط و خش,سالم,سالم و پلمپ,8,دنده ای,gasoline,276000000
973,3/5/2022,Tehran,PEUGEOT 206 SD V8,1393,آبی,248000,خط و خش جزیی,سالم,سالم و پلمپ,10,دنده ای,gasoline,205000000
974,3/5/2022,Tehran,PEUGEOT PARS LX TU5,1400,سفید,0,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,331000000
975,3/30/2022,Tehran,PEUGEOT PARS AUTOMATIC TU5,1391,سفید,260000,رنگ شدگی در ۲ ناحیه,سالم,سالم و پلمپ,12,اتوماتیک,gasoline,212000000
976,3/12/2022,Tehran,PEUGEOT 206 Type 2,1399,سفید,11000,سالم و بی خط و خش,سالم,سالم و پلمپ,6,دنده ای,gasoline,247000000
977,3/12/2022,Tehran,PEUGEOT 207i PANAROMA MANUAL,1400,مشکی,0,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,370000000
978,3/12/2022,Tehran,PEUGEOT RD GAS,1380,سفید,400000,خط و خش جزیی,سالم,سالم و پلمپ,12,دنده ای,gasoline,37000000
979,3/19/2022,Tehran,PEUGEOT 206 Type 2,1400,نوک مدادی,0,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,268000000
980,4/2/2022,Tehran,PEUGEOT RD CNG,1384,یشمی,150000,خط و خش جزیی,سالم,سالم و پلمپ,10,دنده ای,CNG,55000000
981,3/5/2022,Tehran,PEUGEOT 405 GLX GAS,1394,نقره ای,186000,تمام رنگ,سالم,سالم و پلمپ,12,دنده ای,gasoline,125000000
982,3/12/2022,Tehran,PEUGEOT PARS SADE,1387,نوک مدادی,180000,خط و خش جزیی,سالم,سالم و پلمپ,11,دنده ای,gasoline,154500000
983,3/12/2022,Tehran,PEUGEOT 405 GLX GAS,1373,ذغالی,300000,خط و خش جزیی,سالم,سالم و پلمپ,5,دنده ای,gasoline,68000000
984,3/26/2022,Tehran,PEUGEOT 405 GLX GAS,1396,نقره ای,40000,خط و خش جزیی,سالم,سالم و پلمپ,4,دنده ای,gasoline,195000000
985,3/12/2022,Tehran,PEUGEOT 206 Type 5,1399,سفید,12000,سالم و بی خط و خش,سالم,سالم و پلمپ,4,دنده ای,gasoline,305000000
986,3/5/2022,Tehran,PEUGEOT 206 Type 2,1399,سفید,18000,سالم و بی خط و خش,سالم,سالم و پلمپ,6,دنده ای,gasoline,250000000
987,3/26/2022,Tehran,PEUGEOT 206 SD V9,1387,خاکستری,230000,سالم و بی خط و خش,سالم,سالم و پلمپ,12,اتوماتیک,gasoline,177000000
988,3/27/2022,Tehran,PEUGEOT 405 GL CNG,1395,نوک مدادی,180000,رنگ شدگی در ۳ ناحیه,سالم,سالم و پلمپ,12,دنده ای,CNG,195000000
989,3/5/2022,Tehran,PEUGEOT 206 SD V8,1396,سفید,89000,خط و خش جزیی,سالم,سالم و پلمپ,8,دنده ای,gasoline,250000000
990,3/26/2022,Tehran,PEUGEOT ROA HYBRID,1387,زرد,500000,دوررنگ,نیاز به تعمیر,ضربه خورده,10,دنده ای,hybrid,1500000000
991,3/19/2022,Tehran,PEUGEOT PARS AUTOMATIC TU5,1398,سفید,29000,سالم و بی خط و خش,سالم,سالم و پلمپ,11,اتوماتیک,gasoline,365000000
992,3/12/2022,Tehran,PEUGEOT RD LPG,1380,سبز,260000,خط و خش جزیی,سالم,سالم و پلمپ,11,دنده ای,LPG,38000000
993,3/12/2022,Tehran,PEUGEOT 405 GLX CNG,1393,نقره ای,330000,خط و خش جزیی,سالم,سالم و پلمپ,7,دنده ای,CNG,165000000
994,3/19/2022,Tehran,PEUGEOT ROA SAL HYBRID,1388,سبز,300000,خط و خش جزیی,سالم,سالم و پلمپ,7,دنده ای,hybrid,98000000
995,3/12/2022,Tehran,PEUGEOT 206 Type 2,1395,خاکستری,90000,خط و خش جزیی,سالم,سالم و پلمپ,5,دنده ای,gasoline,200000000
996,3/5/2022,Tehran,PEUGEOT 207i MANUAL,1399,سفید,40000,سالم و بی خط و خش,سالم,سالم و پلمپ,6,دنده ای,gasoline,335000000
997,3/26/2022,Tehran,PEUGEOT RD GAS,1379,قرمز,350000,دوررنگ,سالم,سالم و پلمپ,5,دنده ای,gasoline,35000000
998,3/5/2022,Tehran,PEUGEOT 206 Type 5,1399,سفید,3300,سالم و بی خط و خش,سالم,سالم و پلمپ,7,دنده ای,gasoline,305000000
999,3/26/2022,Tehran,PEUGEOT PARS LX TU5,1399,سفید,5000,سالم و بی خط و خش,سالم,سالم و پلمپ,11,دنده ای,gasoline,318000000
1000,3/5/2022,Tehran,PEUGEOT PARS SAL,1398,سفید,62000,صافکاری بی رنگ، در ۱ ناحیه,سالم,سالم و پلمپ,9,دنده ای,gasoline,243000000
1001,4/2/2022,Tehran,PEUGEOT 405 GLX GAS,1393,نوک مدادی,89900,سالم و بی خط و خش,سالم,سالم و پلمپ,5,دنده ای,gasoline,173500000
1002,3/19/2022,Tehran,PEUGEOT 405 GLX GAS,1389,خاکستری,290000,رنگ شدگی در ۲ ناحیه,سالم,سالم و پلمپ,8,دنده ای,gasoline,130000000
1003,4/2/2022,Tehran,PEUGEOT 405 GLX CNG,1391,نقره ای,230000,خط و خش جزیی,تعویض شده,سالم و پلمپ,3,دنده ای,CNG,140000000
1004,3/27/2022,Tehran,PEUGEOT 405 GLX GAS,1397,خاکستری,36000,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,220000000
1005,3/28/2022,Tehran,PEUGEOT 405 GLX GAS,1384,بژ,275000,دوررنگ,سالم,سالم و پلمپ,12,دنده ای,gasoline,85000000
1006,3/12/2022,Tehran,PEUGEOT 405 GLX GAS,1397,خاکستری,88000,سالم و بی خط و خش,سالم,سالم و پلمپ,11,دنده ای,gasoline,220000000
1007,3/30/2022,Tehran,PEUGEOT 405 GL GAS,1387,نقره ای,209602,رنگ شدگی در ۱ ناحیه,سالم,سالم و پلمپ,10,دنده ای,gasoline,97000000
1008,3/26/2022,Tehran,PEUGEOT 405 GLX LPG,1377,سبز,200000,خط و خش جزیی,سالم,سالم و پلمپ,10,دنده ای,LPG,65000000
1009,3/19/2022,Tehran,PEUGEOT 405 GLX GAS,1390,نقره ای,200000,خط و خش جزیی,سالم,سالم و پلمپ,4,دنده ای,gasoline,131000000
1010,3/19/2022,Tehran,PEUGEOT PARS LX TU5,1400,سفید,13000,سالم و بی خط و خش,سالم,سالم و پلمپ,8,دنده ای,gasoline,330000000
1011,3/19/2022,Tehran,PEUGEOT 206 Type 5,1396,سفید,100000,سالم و بی خط و خش,سالم,سالم و پلمپ,10,دنده ای,gasoline,235000000
1012,3/12/2022,Tehran,PEUGEOT PARS HYBRID,1392,سفید,190000,رنگ شدگی در ۲ ناحیه,نیاز به تعمیر,سالم و پلمپ,1,دنده ای,hybrid,187000000
1013,3/12/2022,Tehran,PEUGEOT 206 SD V8,1392,نقره ای,190000,خط و خش جزیی,سالم,سالم و پلمپ,6,دنده ای,gasoline,192000000
1014,3/12/2022,Tehran,PEUGEOT 405 GL CNG,1390,زرد,275000,خط و خش جزیی,سالم,سالم و پلمپ,9,دنده ای,CNG,122000000
1015,3/19/2022,Tehran,PEUGEOT 207i MANUAL,1399,مشکی,41000,سالم و بی خط و خش,سالم,سالم و پلمپ,11,دنده ای,gasoline,330000000
1016,3/19/2022,Tehran,PEUGEOT 206 Type 5,1392,خاکستری,80500,خط و خش جزیی,سالم,سالم و پلمپ,11,دنده ای,gasoline,205000000
1017,3/12/2022,Tehran,PEUGEOT PARS SAL,1399,سفید,45000,سالم و بی خط و خش,سالم,سالم و پلمپ,9,دنده ای,gasoline,251500000
1018,3/5/2022,Tehran,PEUGEOT PARS SAL,1397,خاکستری,67000,سالم و بی خط و خش,سالم,سالم و پلمپ,10,دنده ای,gasoline,243000000
1019,3/12/2022,Tehran,PEUGEOT 206 Type 5,1394,سفید,90,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,210000000
1020,3/19/2022,Tehran,PEUGEOT 2008,1396,سفید,34000,سالم و بی خط و خش,سالم,سالم و پلمپ,5,اتوماتیک,gasoline,860000000
1021,3/26/2022,Tehran,PEUGEOT PARS LX TU5,1400,سفید صدفی,5000,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,331000000
1022,3/29/2022,Tehran,PEUGEOT RD GAS,1381,یشمی,310000,دوررنگ,سالم,سالم و پلمپ,4,دنده ای,gasoline,47000000
1023,3/5/2022,Tehran,PEUGEOT 206 Type 2,1390,سفید,195000,خط و خش جزیی,سالم,سالم و پلمپ,8,دنده ای,gasoline,149500000
1024,3/12/2022,Tehran,PEUGEOT 206 Type 2,1396,سفید,114000,رنگ شدگی در ۲ ناحیه,سالم,سالم و پلمپ,10,دنده ای,gasoline,190000000
1025,3/12/2022,Tehran,PEUGEOT PARS ELX XUM,1393,دلفینی,140000,سالم و بی خط و خش,سالم,سالم و پلمپ,3,دنده ای,gasoline,215000000
1026,3/26/2022,Tehran,PEUGEOT PARS SAL,1398,سفید,31000,سالم و بی خط و خش,سالم,سالم و پلمپ,6,دنده ای,gasoline,257000000
1027,3/27/2022,Tehran,PEUGEOT ROA HYBRID,1386,نوک مدادی,280000,خط و خش جزیی,سالم,سالم و پلمپ,12,دنده ای,hybrid,75000000
1028,3/19/2022,Tehran,PEUGEOT 206 Type 3,1387,سفید,250000,رنگ شدگی در ۲ ناحیه,سالم,سالم و پلمپ,7,دنده ای,gasoline,125000000
1029,3/5/2022,Tehran,PEUGEOT 207i MANUAL,1400,سفید,400,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,335000000
1030,3/12/2022,Tehran,PEUGEOT 206 Type 2,1394,سفید,210000,سالم و بی خط و خش,سالم,سالم و پلمپ,3,دنده ای,gasoline,168000000
1031,3/26/2022,Tehran,PEUGEOT 206 Type 2,1395,خاکستری,110000,سالم و بی خط و خش,سالم,سالم و پلمپ,4,دنده ای,gasoline,210000000
1032,3/12/2022,Tehran,PEUGEOT 206 SD V8,1396,سفید,79000,خط و خش جزیی,سالم,سالم و پلمپ,10,دنده ای,gasoline,250000000
1033,3/12/2022,Tehran,PEUGEOT 405 GLX CNG,1396,زرد,70000,سالم و بی خط و خش,سالم,سالم و پلمپ,6,دنده ای,CNG,175000000
1034,3/30/2022,Tehran,PEUGEOT 206 SD V8,1393,سفید,90000,صافکاری بی رنگ، در ۲ ناحیه,سالم,سالم و پلمپ,5,دنده ای,gasoline,213000000
1035,4/2/2022,Tehran,PEUGEOT 405 GLX CNG,1390,نقره ای,220000,سالم و بی خط و خش,سالم,سالم و پلمپ,4,دنده ای,CNG,140000000
1036,3/12/2022,Tehran,PEUGEOT 206 Type 5,1397,سفید,70000,سالم و بی خط و خش,سالم,سالم و پلمپ,8,دنده ای,gasoline,265000000
1037,3/12/2022,Tehran,PEUGEOT PARS SAL,1397,سفید,5000,سالم و بی خط و خش,سالم,سالم و پلمپ,8,دنده ای,gasoline,247000000
1038,4/2/2022,Tehran,PEUGEOT 405 GLX GAS,1397,نقره ای,64000,سالم و بی خط و خش,سالم,سالم و پلمپ,6,دنده ای,gasoline,215000000
1039,3/30/2022,Tehran,PEUGEOT PARS SAL,1389,خاکستری,200,خط و خش جزیی,سالم,سالم و پلمپ,2,دنده ای,gasoline,145000000
1040,3/26/2022,Tehran,PEUGEOT 405 GLX GAS,1398,نقره ای,69000,خط و خش جزیی,سالم,سالم و پلمپ,10,دنده ای,gasoline,218000000
1041,3/5/2022,Tehran,PEUGEOT 206 Type 5,1393,سفید,74000,سالم و بی خط و خش,سالم,سالم و پلمپ,6,دنده ای,gasoline,232000000
1042,4/2/2022,Tehran,PEUGEOT 405 GLX CNG,1389,نقره ای,263000,دوررنگ,سالم,سالم و پلمپ,6,دنده ای,CNG,115000000
1043,3/29/2022,Tehran,PEUGEOT 207i PANAROMA MANUAL,1400,سفید,0,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,373000000
1044,3/12/2022,Tehran,PEUGEOT PARS SAL,1398,سفید,35000,سالم و بی خط و خش,سالم,سالم و پلمپ,11,دنده ای,gasoline,260000000
1045,3/12/2022,Tehran,PEUGEOT 206 SD V8,1397,سفید,62000,سالم و بی خط و خش,سالم,سالم و پلمپ,6,دنده ای,gasoline,251000000
1046,3/12/2022,Tehran,PEUGEOT 405 GLX GAS,1389,نقره ای,300000,سالم و بی خط و خش,سالم,سالم و پلمپ,6,دنده ای,gasoline,129000000
1047,4/2/2022,Tehran,PEUGEOT PARS HYBRID,1399,سفید,19000,سالم و بی خط و خش,سالم,سالم و پلمپ,9,دنده ای,hybrid,310000000
1048,3/26/2022,Tehran,PEUGEOT 207i AUTOMATIC,1400,سفید,0,سالم و بی خط و خش,سالم,سالم و پلمپ,8,اتوماتیک,gasoline,525000000
1049,3/12/2022,Tehran,PEUGEOT 405 GLX GAS,1396,دلفینی,100000,رنگ شدگی در ۱ ناحیه,سالم,سالم و پلمپ,12,دنده ای,gasoline,202000000
1050,3/12/2022,Tehran,PEUGEOT 206 Type 5,1396,سفید,83000,رنگ شدگی در ۲ ناحیه,سالم,سالم و پلمپ,6,دنده ای,gasoline,235000000
1051,4/2/2022,Tehran,PEUGEOT 405 SLX HYBRID,1389,نقره ای,280000,دوررنگ,سالم,سالم و پلمپ,8,دنده ای,hybrid,118000000
1052,3/26/2022,Tehran,PEUGEOT 206 Type 6,1385,نقره ای,170000,سالم و بی خط و خش,سالم,سالم و پلمپ,11,اتوماتیک,gasoline,123000000
1053,3/26/2022,Tehran,PEUGEOT 206 Type 2,1397,سفید,76000,سالم و بی خط و خش,سالم,سالم و پلمپ,6,دنده ای,gasoline,220000000
1054,3/19/2022,Tehran,PEUGEOT 206 Type 5,1394,سفید,120000,خط و خش جزیی,سالم,سالم و پلمپ,5,دنده ای,gasoline,208000000
1055,3/12/2022,Tehran,PEUGEOT PARS SAL,1398,سفید,13500,سالم و بی خط و خش,سالم,سالم و پلمپ,7,دنده ای,gasoline,260000000
1056,3/12/2022,Tehran,PEUGEOT 405 GLX GAS,1398,خاکستری,50000,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,225000000
1057,3/5/2022,Tehran,PEUGEOT 207i AUTOMATIC,1398,مشکی,58000,خط و خش جزیی,سالم,سالم و پلمپ,3,اتوماتیک,gasoline,432000000
1058,3/26/2022,Tehran,PEUGEOT 405 GLX CNG,1382,مشکی,123456,دوررنگ,تعویض شده,سالم و پلمپ,12,دنده ای,CNG,85000000
1059,3/26/2022,Tehran,PEUGEOT 206 SD V8,1399,سفید صدفی,35000,سالم و بی خط و خش,سالم,سالم و پلمپ,9,دنده ای,gasoline,302000000
1060,3/12/2022,Tehran,PEUGEOT 405 GLX GAS,1399,دلفینی,22348,سالم و بی خط و خش,سالم,سالم و پلمپ,1,دنده ای,gasoline,239000000
1061,3/12/2022,Tehran,PEUGEOT RD GAS,1384,یشمی,185000,سالم و بی خط و خش,سالم,سالم و پلمپ,11,دنده ای,gasoline,60000000
1062,3/12/2022,Tehran,PEUGEOT 206 Type 2,1400,سفید,11000,سالم و بی خط و خش,سالم,سالم و پلمپ,8,دنده ای,gasoline,261000000
1063,3/12/2022,Tehran,PEUGEOT 206 Type 5,1393,سفید,133000,سالم و بی خط و خش,سالم,سالم و پلمپ,5,دنده ای,gasoline,205000000
1064,3/12/2022,Tehran,PEUGEOT 206 Type 5,1396,سفید,109000,سالم و بی خط و خش,سالم,سالم و پلمپ,3,دنده ای,gasoline,245000000
1065,3/12/2022,Tehran,PEUGEOT 206 Type 5,1395,سفید,96000,رنگ شدگی در ۱ ناحیه,سالم,سالم و پلمپ,9,دنده ای,gasoline,200000000
1066,3/12/2022,Tehran,PEUGEOT 207i AUTOMATIC,1400,مشکی,13000,سالم و بی خط و خش,سالم,سالم و پلمپ,3,اتوماتیک,gasoline,495000000
1067,3/19/2022,Tehran,PEUGEOT 206 Type 2,1396,سفید,102000,رنگ شدگی در ۱ ناحیه,سالم,سالم و پلمپ,12,دنده ای,gasoline,205000000
1068,4/2/2022,Tehran,PEUGEOT PARS AUTOMATIC TU5,1397,سفید,30000,سالم و بی خط و خش,سالم,سالم و پلمپ,11,اتوماتیک,gasoline,340000000
1069,3/12/2022,Tehran,PEUGEOT 405 GLX CNG,1391,نقره ای,135000,سالم و بی خط و خش,سالم,سالم و پلمپ,4,دنده ای,CNG,155000000
1070,3/28/2022,Tehran,PEUGEOT 206 Type 6,1388,نقره ای,213,خط و خش جزیی,سالم,سالم و پلمپ,9,اتوماتیک,gasoline,172000000
1071,3/29/2022,Tehran,PEUGEOT 206 Type 2,1399,سفید,24000,سالم و بی خط و خش,سالم,سالم و پلمپ,9,دنده ای,gasoline,249000000
1072,3/5/2022,Tehran,PEUGEOT 206 Type 5,1395,سفید,83000,سالم و بی خط و خش,سالم,سالم و پلمپ,6,دنده ای,gasoline,245000000
1073,3/19/2022,Tehran,PEUGEOT 405 GLX GAS,1386,نقره ای,177000,خط و خش جزیی,سالم,سالم و پلمپ,9,دنده ای,gasoline,105000000
1074,3/30/2022,Tehran,PEUGEOT 206 Type 2,1400,سفید,8000,سالم و بی خط و خش,سالم,سالم و پلمپ,10,دنده ای,gasoline,260000000
1075,3/30/2022,Tehran,PEUGEOT 405 GLX GAS,1391,نقره ای,295000,تمام رنگ,سالم,سالم و پلمپ,1,دنده ای,gasoline,116000000
1076,3/12/2022,Tehran,PEUGEOT 206 Type 2,1400,سفید,0,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,265000000
1077,3/12/2022,Tehran,PEUGEOT 405 GLX CNG,1400,زرد,600,سالم و بی خط و خش,سالم,سالم و پلمپ,7,دنده ای,CNG,235000000
1078,4/2/2022,Tehran,PEUGEOT RD CNG,1383,یشمی,418847,تمام رنگ,سالم,سالم و پلمپ,12,دنده ای,CNG,45000000
1079,3/5/2022,Tehran,PEUGEOT 207i MANUAL,1398,مشکی,30000,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,330000000
1080,3/12/2022,Tehran,PEUGEOT 206 Type 5,1397,سفید,88000,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,258000000
1081,3/5/2022,Tehran,PEUGEOT 206 Type 5,1393,سفید,108000,سالم و بی خط و خش,سالم,سالم و پلمپ,6,دنده ای,gasoline,215000000
1082,3/19/2022,Tehran,PEUGEOT 405 SLX GAS,1389,نقره ای,155000,خط و خش جزیی,سالم,سالم و پلمپ,6,دنده ای,gasoline,142000000
1083,3/19/2022,Tehran,PEUGEOT 206 Type 2,1400,سفید,0,سالم و بی خط و خش,سالم,سالم و پلمپ,10,دنده ای,gasoline,271000000
1084,3/19/2022,Tehran,PEUGEOT 405 GLX CNG,1387,نقره ای,380000,دوررنگ,سالم,سالم و پلمپ,4,دنده ای,CNG,110000000
1085,3/5/2022,Tehran,PEUGEOT 206 Type 5,1397,سفید,155000,دوررنگ,سالم,سالم و پلمپ,11,دنده ای,gasoline,215000000
1086,3/5/2022,Tehran,PEUGEOT PARS SADE,1400,سفید,5000,سالم و بی خط و خش,سالم,سالم و پلمپ,10,دنده ای,gasoline,280000000
1087,3/12/2022,Tehran,PEUGEOT PARS HYBRID,1391,سفید,218000,خط و خش جزیی,سالم,سالم و پلمپ,7,دنده ای,hybrid,183000000
1088,3/28/2022,Tehran,PEUGEOT 405 GLX CNG,1394,خاکستری,80000,سالم و بی خط و خش,سالم,سالم و پلمپ,8,دنده ای,CNG,196000000
1089,3/12/2022,Tehran,PEUGEOT 207i PANAROMA MANUAL,1400,خاکستری,20,سالم و بی خط و خش,سالم,سالم و پلمپ,9,دنده ای,gasoline,365000000
1090,3/5/2022,Tehran,PEUGEOT 206 Type 5,1397,سفید,190,رنگ شدگی در ۱ ناحیه,سالم,سالم و پلمپ,5,دنده ای,gasoline,242000000
1091,3/12/2022,Tehran,PEUGEOT PARS LX TU5,1399,سفید,37,سالم و بی خط و خش,سالم,سالم و پلمپ,11,دنده ای,gasoline,310000000
1092,3/5/2022,Tehran,PEUGEOT PARS SAL,1399,سفید صدفی,33000,سالم و بی خط و خش,سالم,سالم و پلمپ,7,دنده ای,gasoline,253000000
1093,3/5/2022,Tehran,PEUGEOT PARS SADE,1391,سفید,220000,سالم و بی خط و خش,سالم,سالم و پلمپ,9,دنده ای,gasoline,172000000
1094,3/29/2022,Tehran,PEUGEOT 405 GLX CNG,1389,نوک مدادی,250000,خط و خش جزیی,سالم,سالم و پلمپ,5,دنده ای,CNG,138000000
1095,3/19/2022,Tehran,PEUGEOT 207i AUTOMATIC,1397,سفید,53000,خط و خش جزیی,سالم,سالم و پلمپ,4,اتوماتیک,gasoline,400000000
1096,3/12/2022,Tehran,PEUGEOT 405 SLX GAS,1391,خاکستری,190000,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,166000000
1097,3/29/2022,Tehran,PEUGEOT 206 SD V8,1389,بادمجانی,0,خط و خش جزیی,سالم,سالم و پلمپ,6,دنده ای,gasoline,175000000
1098,3/12/2022,Tehran,PEUGEOT 405 GLX GAS,1392,خاکستری,154000,سالم و بی خط و خش,سالم,سالم و پلمپ,6,دنده ای,gasoline,149000000
1099,3/19/2022,Tehran,PEUGEOT 206 SD V8,1394,سفید,85000,رنگ شدگی در ۲ ناحیه,سالم,سالم و پلمپ,8,دنده ای,gasoline,215000000
1100,3/19/2022,Tehran,PEUGEOT 405 GLX CNG,1386,زرد,350000,خط و خش جزیی,سالم,سالم و پلمپ,7,دنده ای,CNG,85000000
1101,3/19/2022,Tehran,PEUGEOT 206 Type 5,1393,سفید,125000,سالم و بی خط و خش,سالم,سالم و پلمپ,6,دنده ای,gasoline,230000000
1102,3/26/2022,Tehran,PEUGEOT 405 GLX CNG,1386,نقره ای,480000,خط و خش جزیی,سالم,سالم و پلمپ,3,دنده ای,CNG,110000000
1103,3/19/2022,Tehran,PEUGEOT 405 SLX GAS,1391,سفید,200000,رنگ شدگی در ۲ ناحیه,سالم,سالم و پلمپ,9,دنده ای,gasoline,155000000
1104,3/26/2022,Tehran,PEUGEOT 207i AUTOMATIC,1400,مشکی,0,سالم و بی خط و خش,سالم,سالم و پلمپ,2,اتوماتیک,gasoline,525000000
1105,3/5/2022,Tehran,PEUGEOT PARS SADE,1393,خاکستری,150000,خط و خش جزیی,سالم,سالم و پلمپ,1,دنده ای,gasoline,205000000
1106,3/27/2022,Tehran,PEUGEOT 206 Type 5,1396,سفید,140000,صافکاری بی رنگ، در ۱ ناحیه,سالم,سالم و پلمپ,7,دنده ای,gasoline,230000000
1107,3/5/2022,Tehran,PEUGEOT 405 GLX GAS,1397,نقره ای,98000,سالم و بی خط و خش,سالم,سالم و پلمپ,10,دنده ای,gasoline,196000000
1108,3/29/2022,Tehran,PEUGEOT 206 SD V8,1399,سفید,19000,سالم و بی خط و خش,سالم,سالم و پلمپ,1,دنده ای,gasoline,305000000
1109,3/27/2022,Tehran,PEUGEOT 405 GLX GAS,1398,خاکستری,20000,سالم و بی خط و خش,سالم,سالم و پلمپ,6,دنده ای,gasoline,235000000
1110,3/5/2022,Tehran,PEUGEOT 405 GLX GAS,1397,خاکستری,66600,سالم و بی خط و خش,سالم,سالم و پلمپ,4,دنده ای,gasoline,208000000
1111,3/19/2022,Tehran,PEUGEOT 405 GLX GAS,1395,خاکستری,190000,خط و خش جزیی,سالم,سالم و پلمپ,4,دنده ای,gasoline,177000000
1112,3/12/2022,Tehran,PEUGEOT 207i PANAROMA MANUAL,1400,سفید,0,سالم و بی خط و خش,سالم,سالم و پلمپ,11,دنده ای,gasoline,365000000
1113,3/12/2022,Tehran,PEUGEOT 206 Type 2,1400,سفید,98,سالم و بی خط و خش,سالم,سالم و پلمپ,11,دنده ای,gasoline,258000000
1114,3/30/2022,Tehran,PEUGEOT 405 GLX GAS,1394,نقره ای,150000,سالم و بی خط و خش,سالم,سالم و پلمپ,12,دنده ای,gasoline,165000000
1115,3/5/2022,Tehran,PEUGEOT PARS LX TU5,1400,سفید,0,سالم و بی خط و خش,سالم,سالم و پلمپ,6,دنده ای,gasoline,333000000
1116,3/29/2022,Tehran,PEUGEOT ROA HYBRID,1387,نوک مدادی,218000,خط و خش جزیی,سالم,سالم و پلمپ,10,دنده ای,hybrid,70000000
1117,3/12/2022,Tehran,PEUGEOT PARS SAL,1393,سفید,120000,تمام رنگ,سالم,ضربه خورده,6,دنده ای,gasoline,160000000
